Michigan State,Michigan St.,Michigan State,Michigan State,Michigan State,Michigan State
Villanova,Villanova,Villanova,Villanova,Villanova,Villanova
Virginia,Virginia,UVA,Virginia,Virginia,Virginia
Kansas,Kansas,Kansas,Kansas,Kansas,Kansas
North Carolina,North Carolina,UNC,North Carolina,North Carolina,North Carolina
Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
Louisville,Louisville,Louisville,Louisville,,Louisville
Wichita St,Wichita St.,Wichita State,Wichita State,Wichita State,Wichita St
West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky
Duke,Duke,Duke,Duke,Duke,Duke
Xavier,Xavier,Xavier,Xavier-Ohio,Xavier,Xavier
Miami,Miami FL,Miami,Miami-Florida,Miami (FLA.),Miami (FL)
Iowa,Iowa,Iowa,Iowa,Iowa,Iowa
Indiana,Indiana,Indiana,Indiana,Indiana,Indiana
Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
Iowa State,Iowa St.,Iowa State,Iowa State,Iowa State,Iowa State
Purdue,Purdue,Purdue,Purdue,Purdue,Purdue
Oregon,Oregon,Oregon,Oregon,Oregon,Oregon
Maryland,Maryland,Maryland,Maryland,Maryland,Maryland
SMU,SMU,SMU,SMU,,SMU
Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt
UConn,Connecticut,UConn,Connecticut,Connecticut,Connecticut
Utah,Utah,Utah,Utah,Utah,Utah
Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M
Texas,Texas,Texas,Texas,Texas,Texas
Cal,California,Cal,California,California,California
Baylor,Baylor,Baylor,Baylor,Baylor,Baylor
Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso
Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga
Seton Hall,Seton Hall,Seton Hall,Seton Hall,Seton Hall,
Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame
Saint Joseph's,Saint Joseph's,Saint Joe's,Saint Joseph's-Pa.,St. Joseph's,
Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's-Cal.,St. Mary's (CA),
Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,
Butler,Butler,Butler,Butler,Butler,Butler
VCU,VCU,VCU,VCU(Va. Commonwealth),Virginia Commonwealth,
Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa
AR Little Rock,Arkansas Little Rock,AR-Little Rock,Little Rock,Arkansas-Little Rock,
Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,
Florida,Florida,Florida,Florida,Florida,
Michigan,Michigan,Michigan,Michigan,Michigan,Michigan
Florida State,Florida St.,FSU,Florida State,Florida State,Florida State
USC,USC,USC,Southern California,USC,
Pitt,Pittsburgh,Pitt,Pittsburgh,Pittsburgh,
Kansas State,Kansas St.,Kansas State,Kansas State,,
Creighton,Creighton,Creighton,Creighton,,
Clemson,Clemson,Clemson,Clemson,,
Yale,Yale,Yale,Yale,Yale,Yale
South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,
UCLA,UCLA,UCLA,UCLA,,UCLA
Princeton,Princeton,Princeton,Princeton,Princeton,
Dayton,Dayton,Dayton,Dayton,Dayton,Dayton
Providence,Providence,Providence,Providence,Providence,Providence
San Diego State,San Diego St.,San Diego State,San Diego State,San Diego State,San Diego State
BYU,BYU,BYU,BYU,BYU,BYU
SF Austin,Stephen F. Austin,SF Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin
Oregon State,Oregon St.,Oregon State,Oregon State,Oregon State,
Houston,Houston,Houston,Houston,Houston,
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,
Monmouth,Monmouth,Monmouth,Monmouth-NJ,Monmouth,
Colorado,Colorado,Colorado,Colorado,Colorado,
Washington,Washington,Washington,Washington,,
NC State,North Carolina St.,NC State,NC State,,NC State
Arkansas,Arkansas,Arkansas,Arkansas,,
Ohio State,Ohio St.,OSU,Ohio State,,Ohio State
South Dakota St,South Dakota St.,South Dakota St,South Dakota State,South Dakota State,
Hawaii,Hawaii,Hawaii,Hawai'i,Hawaii,
Mississippi St,Mississippi St.,Miss St,Mississippi State,,
G Washington,George Washington,G Washington,George Washington,George Washington,
Georgetown,Georgetown,Georgetown,Georgetown,,Georgetown
LSU,LSU,LSU,LSU,,LSU
Stony Brook,Stony Brook,Stony Brook,Stony Brook-NY,Stony Brook,
JMU,James Madison,JMU,James Madison,James Madison,
UNC Wilmington,UNC Wilmington,UNC Wilmington,NC Wilmington,NC-Wilmington,
Stanford,Stanford,Stanford,Stanford,,
Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,
Georgia,Georgia,Georgia,Georgia,,
Alabama,Alabama,Alabama,Alabama,Alabama,
St Bonaventure,St. Bonaventure,St Bonaventure,St. Bonaventure,St. Bonaventure,
URI,Rhode Island,URI,Rhode Island,,Rhode Island
Northwestern,Northwestern,Northwestern,Northwestern,,
Iona,Iona,Iona,Iona,Iona,Iona
Akron,Akron,Akron,Akron,Akron,
Ole Miss,Mississippi,Ole Miss,Mississippi,,
Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,
Evansville,Evansville,Evansville,Evansville,,
Oakland,Oakland,Oakland,Oakland-Mich.,Oakland,
Arizona State,Arizona St.,Arizona State,Arizona State,,
Temple,Temple,Temple,Temple,Temple,
Oklahoma State,Oklahoma St.,Oklahoma State,Oklahoma State,,Oklahoma State
Boise State,Boise St.,Boise State,Boise State,,Boise State
UT Arlington,UT Arlington,UT-Arlington,Texas-Arlington,,
Marquette,Marquette,Marquette,Marquette,Marquette,Marquette
Nebraska,Nebraska,Nebraska,Nebraska,,
William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,,
Richmond,Richmond,Richmond,Richmond,,
UC Irvine,UC Irvine,UC Irvine,UC Irvine,UC Irvine,UC Irvine
Columbia,Columbia,Columbia,Columbia,,
Long Beach St,Long Beach St.,LBSU,Long Beach State,,
Albany,Albany,Albany,Albany-NY,,
UCSB,UC Santa Barbara,UCSB,UC Santa Barbara,,
Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,
CSU Bakersfield,Cal St. Bakersfield,CSU Bakersfield,CS Bakersfield,CSU Bakersfield,
Siena,Siena,Siena,Siena,,
Tennessee,Tennessee,Tennessee,Tennessee,,
Davidson,Davidson,Davidson,Davidson,,Davidson
Memphis,Memphis,Memphis,Memphis,,
Milwaukee,Milwaukee,Milwaukee,Milwaukee,,
LA Lafayette,Louisiana Lafayette,LA-Lafayette,Louisiana-Lafayette,,
Illinois State,Illinois St.,Illinois State,Illinois State,,
UAB,UAB,UAB,UAB,UAB,
UNLV,UNLV,UNLV,UNLV,UNLV,
New Mexico St,New Mexico St.,New Mexico St,New Mexico State,New Mexico State,
Charleston,College of Charleston,Charleston,College of Charleston,,
Toledo,Toledo,Toledo,Toledo,,
UL Monroe,Louisiana Monroe,UL Monroe,Louisiana-Monroe,,
New Mexico,New Mexico,New Mexico,New Mexico,,
Belmont,Belmont,Belmont,Belmont,Belmont,Belmont
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,,
Fresno State,Fresno St.,Fresno State,Fresno State,,
Ohio,Ohio,Ohio,Ohio,,
Marshall,Marshall,Marshall,Marshall,,
Morehead State,Morehead St.,Morehead State,Morehead State,,
Wake Forest,Wake Forest,Wake Forest,Wake Forest,,
Penn State,Penn St.,Penn State,Penn State,,
Ball State,Ball St.,Ball State,Ball State,,
Nevada,Nevada,Nevada,Nevada,,
Pepperdine,Pepperdine,Pepperdine,Pepperdine,,
IPFW,IPFW,IPFW,Fort Wayne(IPFW),IPFW,
Weber State,Weber St.,Weber State,Weber State,Weber State,
Towson,Towson,Towson,Towson,,
UNC Asheville,UNC Asheville,UNC Asheville,NC Asheville,NC-Asheville,
Old Dominion,Old Dominion,Old Dominion,Old Dominion,,Old Dominion
Omaha,Nebraska Omaha,Omaha,Omaha(Neb.-Omaha),,
Northeastern,Northeastern,Northeastern,Northeastern,,
Buffalo,Buffalo,Buffalo,Buffalo,,
TCU,TCU,TCU,TCU,,
Green Bay,Green Bay,Green Bay,Green Bay,,
Illinois,Illinois,Illinois,Illinois,,
High Point,High Point,High Point,High Point,High Point,
Central Michigan,Central Michigan,Cent Michigan,Central Michigan,,Central Michigan
Southern Illinois,Southern Illinois,S Illinois,Southern Illinois,,
Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,
Montana,Montana,Montana,Montana,Montana,
Vermont,Vermont,Vermont,Vermont,,
Wright State,Wright St.,Wright State,Wright State,,
Middle Tennessee,Middle Tennessee,Mid Tennessee,Middle Tennessee,,
North Dakota St,North Dakota St.,North Dakota St,North Dakota State,,
Elon,Elon,Elon,Elon,,
LA Tech,Louisiana Tech,LA Tech,Louisiana Tech,Louisiana Tech,
TAMU Corpus Christi,Texas A&M Corpus Chris,Texas A&M-CC,Texas A&M-CorpusChristi,,
